stockid,symbol,company_name,security_type,sector,subsector
422,CVS,CVS Health Corp,Equity,Health Care,Drugstore Chains
423,CVTY,Coventry Corp - Common,Equity,Health Care,0
424,CVX,Chevron Corp.,Equity,Energy,Integrated Oil
425,CVXHF,Calico Resources Corp,Equity,Materials,0
426,CWP,Cable & Wireless Phones,Equity,Communications,0
427,CYB,Wisdomtree Chinese Yuan,Equity,0,0
428,CYCCP,Cyclacel Pharma Conv Pfd,Equity,Preferred Stock,0
429,CYN,City National Corp,Equity,Financials,0
430,CYTK,Cytokinetics Inc,Equity,Health Care,0
431,CYTX,Cytori Therapeutics New,Equity,Health Care,0
432,D,Dominion Energy Inc.,Equity,Utilities,Electric Utilities
433,D+A,Dominion Res Cap,Equity,0,0
434,DAI,Daimler A G,Equity,Consumer Discretionary,0
435,DAL,Delta Air Lines,Equity,Industrials,Airlines
436,DANG,E-Commerce China Adr,Equity,Consumer Discretionary,0
437,DATA,Tableau Software Inc,Equity,Information Technology,0
438,DBC,Poweshares DB Commodity,Equity,Natural Resources,0
439,DBD,Diebold Incorporated,Equity,Information Technology,0
440,DBEF,Deutsch X Trk Msci Eafe,Equity,International,0
441,DBTK,Double Take Software,Equity,Information Technology,0
442,DCI,Donaldson Company Inc,Equity,Industrials,0
443,DCT,Dct Indl Tr Inc,Equity,Financials,0
444,DD,EI Dupont Denemours & Co,Equity,Materials,0
445,DD/PB,E.I. du Pont de Nemours & Co,Equity,Financials,0
446,DD+A,Du Pont E I $3.50 Preferred,Equity,Preferred Stock,0
447,DD+B,Du Pont E I $4.50 Pfd,Equity,Preferred Stock,0
448,DDD,3 D Systems Corp,Equity,Information Technology,0
449,DDF,Delaware Grp Div&Incm Fd,Equity,0,0
450,DDM,Proshares Ultra Dow,Equity,Large Blend,0
451,DDR,Devl Diversified Rlty,Equity,Financials,0
452,DE,Deere & Co,Equity,Industrials,Trucks/Construction/Farm Machinery
453,DEC,Digital Equipment Co.,Equity,0,0
454,DELL,Dell Computer Corp,Equity,Information Technology,Computer Processing Hardware
455,DEM,Wisdomtree Emerging Mkts - ETF,Equity,International,0
456,DEO,Diageo Plc New Adr,Equity,Consumer Staples,0
457,DFE,Wisdomtree Europe Smlcp,Equity,International,0
458,DFS,Discover Financial Svcs,Equity,Financials,0
459,DG,Dollar General Corp,Equity,Consumer Discretionary,0
460,DGS,Wsdmtree Emrg Mkts,Equity,International,0
461,DGX,Quest Diagnostic Inc,Equity,Health Care,0
462,DHR,Danaher Corp Del,Equity,Health Care,Medical Specialties
463,DHS,WisdomTree US High Dividend ETF,Equity,Large Blend,0
464,DIA,Diamond Trust Series I,Equity,Large Blend,0
465,DIS,Disney Walt Co,Equity,Communications,Cable/Satellite TV
466,DISCA,DISCOVERY INC - A,Equity,Communications,0
